,Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date
0,"RT @realDailyWire: .@realDonaldTrump: “NOW, THEREFORE, I, DONALD J. TRUMP, President of the United States of America, by virtue of the auth…",Angry_Traveler,8543,158,"St Clair Shores, MI",False,0,57,2020-01-23 00:04:17
1,RT @People4Bernie: @MorningConsult @BernieSanders @SenatorCollins @senatemajldr Be great if someone made a side by side graphic of populari…,Samantha,5718,110,"Oklahoma City, OK",False,0,12,2020-01-23 00:04:17
2,Donald Trump Says He’s Willing to “Look” at Entitlements “Toward The End of This Year” https://t.co/FsPxR6gp0e,imissgrantland,15361,36,,False,0,0,2020-01-23 00:04:17
3,RT @girlsreallyrule: Lead Manager Adam Schiff starts his opening statement today with a quote from Alexander Hamilton (see below) and sayin…,janettwokay,257006,6940,Silicon Valley,False,0,1106,2020-01-23 00:04:16
4,"RT @JunkScience: Transcript of President Trump at Davos:

Urges Davos delegates to ignore ‘perennial prophets of doom’ and accuses environm…",Glenn Roth,94294,21156,"Nashua, NH",False,0,282,2020-01-23 00:04:16
5,RT @BernieSanders: Donald Trump is attacking us because he knows we will beat him in the general election. https://t.co/v04E11RRop,BoomerForBernie2020,111618,1840,,False,0,11452,2020-01-23 00:04:15
6,"RT @Goss30Goss: POTUS said today in front of the world that the wheel was invented in America. 

The wheel was created in 3,500 BC.

Americ…",ninna721,192119,1428,,False,0,982,2020-01-23 00:04:15
7,RT @BecketAdams: Donald Trump will be the first U.S. president in history to attend the annual March for Life in person. https://t.co/oB3CC…,Matthew Dempster,135714,1969,"Utah, USA",False,0,11,2020-01-23 00:04:15
8,RT @Destiny3650: OMG! THIS IS EPIC...I LOVE IT!!😍ENJOY!😍.                                      Lil Nas X - Old Town Road ( Cover by Donald…,kydeeber,7457,1389,"Kentucky, USA",False,0,37,2020-01-23 00:04:15
9,"RT @cher: Will Donald Trump Destroy Presidency?The Atlantic.He
Divided🇺🇸,Rules GOP,&amp; ALL Agencies,&amp; Branches Of Gov.With IRON👊.COMPLIES WIT…",Kirsty Anne Thomson,62383,2505,ENGLAND,False,0,274,2020-01-23 00:04:15
10,I flicked Adolf Hitler because it shouted at Donald Trump.,Shit Poster,393092,70,,False,0,0,2020-01-23 00:04:14
11,RT @Holly_WV: 💞I freaking love our President💞 “Nothing worth doing ever came easy. Treat the word impossible as nothing more than motivatio…,Maddie2020 👩🏻‍🍳🧚🏻‍♂️🦋🦚🌻💐🐱,29887,4574,"Massachusetts, USA",False,0,13,2020-01-23 00:04:14
12,RT @AuthorKimberley: Mitch McConnell wants you to give up hope. Donald John Trump wants you to throw your hands in the air and say he alrea…,Mona Masters,60526,274,N 37°40' 0'' / W 84°21' 0'',False,0,102,2020-01-23 00:04:14
13,"RT @PeteButtigieg: Donald Trump faked a medical condition to avoid serving. He’s never had to sacrifice a day in his life.

He will never u…",cherir obscurite,4152,135,,False,0,2574,2020-01-23 00:04:14
14,RT @Weinsteinlaw: How many times does Donald Trump have to confess before Republicans finally start to believe him?,Richard Theusch,25689,2638,,False,0,149,2020-01-23 00:04:14
15,"RT @kylegriffin1: Mother Jones reports that Robert Hyde, the new player in the Trump-Ukraine scandal, has been a consultant for a mysteriou…",Ellen Ludwig,95401,255,,False,0,1501,2020-01-23 00:04:13
16,"RT @LifeNewsHQ: BREAKING NEWS: 

President Donald Trump Declares January 22nd “National Sanctity of Human Life Day” 

""Every person — the b…",RicPhy ❌👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼,175540,19460,Jersey,False,0,1268,2020-01-23 00:04:12
17,"RT @abutler04: Lawsuit:
Donald and Ivanka Trump Were Involved in Inauguration’s Inflated Payments to Their  Family Business. https://t.co/j…",👠ℛႮℬℽℛℰⅅՏℍ⌾ℰՏ👠,1858,2508,United States,False,0,24,2020-01-23 00:04:12
18,RT @girlsreallyrule: Lead Manager Adam Schiff starts his opening statement today with a quote from Alexander Hamilton (see below) and sayin…,Fortitude,39009,2264,,False,0,1106,2020-01-23 00:04:12
19,"RT @democracynow: .@theCCR's @azmy_b says Senate Republicans have set up what is ""functionally a show trial on behalf of McConnell's client…",Marti Reed,688506,2583,Albuquerque NM,False,0,24,2020-01-23 00:04:12
20,RT @Holly_WV: 💞I freaking love our President💞 “Nothing worth doing ever came easy. Treat the word impossible as nothing more than motivatio…,❌Cb Scott❌ 🇺🇸,41580,36826,Eastern Washington State,False,0,13,2020-01-23 00:04:11
21,President Donald Trump Declares January 22nd “National Sanctity of Human Life Day” https://t.co/KK1iK2rTK5,Clint Abbott,3237,180,"SE Grand Rapids, MI",False,0,0,2020-01-23 00:04:11
22,"RT @ShaunDonovanNYC: As President Obama's HUD Secretary, I enforced the Fair Housing Act. Where someone lives determines access to jobs, ed…",vieille femme,27463,169,San Diego,False,0,103,2020-01-23 00:04:11
23,RT @allareblessed: Tulsi Gabbard is a Democrat in the way Donald Trump is a Christian.,All roads lead to Putin,78997,5347,"California, USA, Planet Earth",False,0,2,2020-01-23 00:04:10
24,RT @waltshaub: Doesn't Priebus work for Michael Best &amp; Friedrich LLP? Isn't Michael Best &amp; Friedrich LLP representing the Trump Organizatio…,Lemon Bird Preserves,48105,1049,Southern California,False,0,2651,2020-01-23 00:04:10
25,RT @bennyjohnson: BREAKING: Donald Trump to become first president to speak live and in person at March for Life this Friday.,Eric Bachmann🇺🇸,23545,313,North of the Wall,False,0,440,2020-01-23 00:04:10
26,RT @nahaltoosi: SCOOP (with the usual caveat that nothing is ever known really under Trump): Nations under consideration to be added to an…,J,36452,892,"DDD, TX",False,0,1260,2020-01-23 00:04:10
27,"Consciousness of guilt of obstruction (NOT presidential 'privilege'):
""Our team did very well. Honestly, we have al… https://t.co/uyhdJrTUZZ",eztempo,92198,4623,US of A,False,0,0,2020-01-23 00:04:09
28,RT @MotherJones: Donald Trump did a zillion tweets today and each one is terrible https://t.co/chzWyMttyh,GAResister,16724,83,,False,0,40,2020-01-23 00:04:09
29,"RT @middleageriot: While Donald Trump is still overseas, Democrats should enact a travel ban preventing known Russian agents from entering…",Miriam 🌊blue波 מרים בת לרות ורובן Solon,22868,323,your couch,False,0,102,2020-01-23 00:04:08
30,"RT @Goss30Goss: POTUS said today in front of the world that the wheel was invented in America. 

The wheel was created in 3,500 BC.

Americ…",Trishia Avery,115077,12349,ClearLake Ca,False,0,982,2020-01-23 00:04:08
31,Do Donald Trump is on T.V in the past two days admitting to Holding onto all the documents and materials.... yet th… https://t.co/iskxEI9wXp,J Metro,16497,16653,"Houston, TX",False,0,0,2020-01-23 00:04:08
32,"RT @AliAdair22: 🗣️ ""He [Mitch McConnell] is turning “the greatest deliberative body” into the world’s fastest kangaroo court.""

#TrumpsRemo…",Allan Funk,96003,809,"Maryland, USA",False,0,27,2020-01-23 00:04:07
33,RT @Holly_WV: 💞I freaking love our President💞 “Nothing worth doing ever came easy. Treat the word impossible as nothing more than motivatio…,Kim Smith⭐⭐⭐,81466,1019,"Tamaha, Oklahoma",False,0,13,2020-01-23 00:04:06
34,"RT @daviddoel: He's going nuts. If Joe Biden can't handle basic questions from the media, how the hell is he going to handle Donald Trump.",Devin,5088,50,Nowhere,False,0,351,2020-01-23 00:04:06
35,RT @RealLibertyHawk: Donald Trump was pro-choice until two seconds ago...,Scott Howard,5335,158,"Hartford, SD",False,0,1,2020-01-23 00:04:05
36,"💥BREAKING💥
@LindseyGrahamSC
 IS LIVING IN TERROR
""Every breath, every word he lives in terror of what Donald Trump… https://t.co/V2hgnKPfFW",🇺🇸🇺🇸 Miguelifornia 🇺🇸🇺🇸,282451,62889,WATCH CALIFORNIA  ,False,0,0,2020-01-23 00:04:04
37,"RT @JoeBiden: My administration will not cut Social Security or Medicare benefits. Period. We’ll expand them. Meanwhile, Donald Trump is sa…",Patty,82502,625,"California, USA",False,0,1588,2020-01-23 00:04:03
38,"RT @gholland04: @realDonaldTrump 59.

Regardless of when the Dems, DS, and MSM realized what Donald J Trump was behind ‘Q’ and ‘The Great A…",Joleen,4125,15,,False,0,6,2020-01-23 00:04:03
39,What a horrible man representing the United States. 👉Trump Ambassador Beat and 'Kidnapped' Woman in Watergate Cover… https://t.co/AS3QJSpWc7,ANDREA  BURKE,3026,574,Rochester NY Toronto ON,False,0,0,2020-01-23 00:04:02
40,"June 27, 2016 |  Elizabeth Warren Campaigns With Hillary Clinton, Goes After Donald Trump https://t.co/VEvGSWc3JT",WL Smith 🇺🇸,21394,405,"Los Angeles, California",False,0,0,2020-01-23 00:04:02
41,"RT @dylanmsmitty: The day Donald Trump leaves office must be a worldwide fucking holiday, agreed?",RV,10076,52,,False,0,219,2020-01-23 00:04:02
42,#MSNBC ted Donald Trump says I have an ugly wife Cruz,😳⁉️,183917,2347,,False,0,0,2020-01-23 00:04:02
43,"RT @4YrsToday: Donald Trump said nobody likes Hillary...

...is that true?",WhatTheHell⭐⭐⭐,284412,10800,NY Is a shithole,False,0,92,2020-01-23 00:04:02
44,RT @waltshaub: Doesn't Priebus work for Michael Best &amp; Friedrich LLP? Isn't Michael Best &amp; Friedrich LLP representing the Trump Organizatio…,La Sa,53254,434,"Austin, TX",False,0,2651,2020-01-23 00:04:01
45,"RT @CBSNews: When asked about the 11 U.S. servicemen injured in the Iran airstrikes, President Trump told @weijia he didn't ""consider them …",veronicanyce,45990,222,,False,0,1309,2020-01-23 00:04:01
46,@RandPaul @realDonaldTrump I bet my last dollar Donald Trump will not dare to attend the impeachment trial. He know… https://t.co/kFxEpoNd5E,nicholas teo,1544,25,,False,0,0,2020-01-23 00:03:59
47,"RT @CREWcrew: Pam Bondi just defended President Trump at his impeachment trial.

Remember when we filed a criminal bribery complaint agains…",#KNIT Twit,29199,6308,"Washington, USA",False,0,3618,2020-01-23 00:03:59
48,Voodoo priest arrested by the FBI after buying a lock of Donald Trump's hair on Craigslist https://t.co/tyGdLANDbk,La Aaron Mealy,15791,123,IN YOUR Television screen. ,False,0,0,2020-01-23 00:03:59
49,RT @waltshaub: Doesn't Priebus work for Michael Best &amp; Friedrich LLP? Isn't Michael Best &amp; Friedrich LLP representing the Trump Organizatio…,Bitter Script Reader,165161,49303,Los Angeles,False,0,2651,2020-01-23 00:03:59
50,"RT @crzyfkinworld: I guess it’s okay with https://t.co/j9AAeA1Biu Best that her hubby, Mr. Be Worst verbally attacks a teenager he is jealo…",Susan,41342,1312,,False,0,91,2020-01-23 00:03:58
51,"RT @LifeNewsHQ: BREAKING NEWS: 

President Donald Trump Declares January 22nd “National Sanctity of Human Life Day” 

""Every person — the b…",Samson,92011,4058,Temporary Home ,False,0,1268,2020-01-23 00:03:57
52,"Ted Cruz DEMANDING
It is crucial that Hunter Biden comes and testifies"" wtf is so crucial? He's not on trial it's T… https://t.co/uZkf2p4pXt",Amici Journal,82021,1272,"Las Vegas, NV",False,0,0,2020-01-23 00:03:57
53,RT @Jazziette: 63 Million Americans elected Donald J Trump to ‘drain the swamp’ and this is exactly what he was doing in Ukraine. The swamp…,Tony,52875,2697,#leftcoast ,False,0,27,2020-01-23 00:03:56
54,‘Middle Class’ Joe Biden has a corruption problem – it makes him a weak candidate https://t.co/EML3f8PbiV… https://t.co/tV8MAbZgQ3,GoodTwitty,156839,8538,State of Mind,False,0,0,2020-01-23 00:03:56
55,RT @waltshaub: Doesn't Priebus work for Michael Best &amp; Friedrich LLP? Isn't Michael Best &amp; Friedrich LLP representing the Trump Organizatio…,Maureen,16099,8213,"Washington, USA",False,0,2651,2020-01-23 00:03:55
56,RT @thedailybeast: Fox News host Greg Gutfeld argued that the real reason Democrats are impeaching President Donald Trump is that they are…,KateATX,253565,4704,"Texas, USA",False,0,14,2020-01-23 00:03:55
57,"RT @SpyTalker: @jaketapper The same Martha Mitchell beaten up to keep her from talking by Nixon/CREEP security agent Steve King, Trump’s am…",Maria 🌊,41129,2071,"Florida, USA",False,0,177,2020-01-23 00:03:55
58,RT @PoliticusSarah: A dozen Republican Senators broke the rules and walked out on Adam Schiff as he was delivering the evidence against Don…,Suzan Buckner 🎨🖌️🖌️,155152,878,"Alabama or Florida, USA",False,0,910,2020-01-23 00:03:55
59,RT @870South: The way Schiff is laying out this evidence against Donald Trump you would have to be blind or complicit to not see the presid…,Rick Lund,12707,184,"Parry Sound, Ontario",False,0,91,2020-01-23 00:03:55
60,"RT @itsreallyalexb: The world is laughing at you Donnie:

“Tremendous boasting. Phenomenal boasting. Trump was boasting like no US presiden…",felice silk,526,70,,False,0,392,2020-01-23 00:03:54
61,"RT @CrypticNoOne: “With the first pick in the 2020 USA Draft, Donald Trump selects”

https://t.co/MHGAVmrF3f",Omar Ainen,179,106,Dubai,False,0,50152,2020-01-23 00:03:54
62,Trump impeachment: Schiff says Trump tried to 'cheat' way to re-election – live https://t.co/XbDUnom5BI,Mario Halkyer,1923,126,"Pennsylvania, USA",False,0,0,2020-01-23 00:03:54
63,RT @PhilipWegmann: Just Now: Donald Trump to become first president to speak live and in person at March for Life this Friday.,Rosemary,354012,451,,False,0,233,2020-01-23 00:03:54
64,"RT @CNN: ""It's been less than two days, but one storyline of the Senate impeachment trial of Donald Trump has already emerged: Democrats ar…",Abdulhamied 💜,28604,13554,Earth,False,0,39,2020-01-23 00:03:54
65,"RT @CraigRozniecki: Dems: ""We're impeaching Donald J. Trump for obstructing Congress.""

Reps: ""He didn't obstruct Congress. Prove that he o…",Aimé Lilithe,33728,252,Northern California,False,0,841,2020-01-23 00:03:54
66,"RT @VoteJenaPowell: HUGE NEWS: 
President Donald J. Trump will be the first ever sitting president to attend March for Life in Washington D…",Donald Hump,45649,621,,False,0,1,2020-01-23 00:03:52
67,"RT @HouseIntel: Giuliani admitted that he was asking Ukraine to work on investigations that could be “very, very helpful” to the President.…",BEstella,3032,21,"Washington, USA",False,0,606,2020-01-23 00:03:52
68,RT @RawStory: #AdamSchiffROCKS trends nationwide as House manager begins the prosecution of Donald Trump https://t.co/wIJE0NXXUn,Lynn Essenberg,24229,663,,False,0,509,2020-01-23 00:03:51
69,"RT @Goss30Goss: POTUS said today in front of the world that the wheel was invented in America. 

The wheel was created in 3,500 BC.

Americ…","Bruce A Minnick, Esq.",19143,1749,Tallahassee FL,False,0,982,2020-01-23 00:03:51
70,RT @girlsreallyrule: Lead Manager Adam Schiff starts his opening statement today with a quote from Alexander Hamilton (see below) and sayin…,Quantum Sheep,149169,2351,Sheepy Towers,False,0,1106,2020-01-23 00:03:51
71,"RT @Goss30Goss: POTUS said today in front of the world that the wheel was invented in America. 

The wheel was created in 3,500 BC.

Americ…",bbc1420,205225,2503,,False,0,982,2020-01-23 00:03:51
72,"RT @JoeBiden: My administration will not cut Social Security or Medicare benefits. Period. We’ll expand them. Meanwhile, Donald Trump is sa…",Johanna for Congress 2020,11835,721,"Massapequa, NY",False,0,1588,2020-01-23 00:03:50
73,"RT @RepJeffries: The President’s top lawyer asked an important question on the first day of trial.

Why are we here?

Donald Trump brazenly…",ginny58,36815,2464,Destination Heaven ,False,0,3328,2020-01-23 00:03:50
74,RT @waltshaub: Doesn't Priebus work for Michael Best &amp; Friedrich LLP? Isn't Michael Best &amp; Friedrich LLP representing the Trump Organizatio…,Theresa,2748,61,"Texas, USA",False,0,2651,2020-01-23 00:03:50
75,"THE WORLD IS ON A CRUSADE AGAINST TRUMP666.
https://t.co/9vUZZRlsIf",keyfox,4541,23,DETROIT. ,False,0,0,2020-01-23 00:03:50
76,"RT @PeteButtigieg: Donald Trump faked a medical condition to avoid serving. He’s never had to sacrifice a day in his life.

He will never u…",Concerned citizen,114994,206,Midwest,False,0,2574,2020-01-23 00:03:49
77,"RT @charliekirk11: Imagine the media outrage if Donald Trump did something like this

🤔

 https://t.co/K2H2y3m73L",lipstickpundit,175066,9130,"South Florida, Chicago",False,0,917,2020-01-23 00:03:49
78,RT @waltshaub: Doesn't Priebus work for Michael Best &amp; Friedrich LLP? Isn't Michael Best &amp; Friedrich LLP representing the Trump Organizatio…,And Justice for All,21822,92,"California, USA",False,0,2651,2020-01-23 00:03:48
79,RT @waltshaub: Doesn't Priebus work for Michael Best &amp; Friedrich LLP? Isn't Michael Best &amp; Friedrich LLP representing the Trump Organizatio…,Julie,25959,128,"Orlando, Florida",False,0,2651,2020-01-23 00:03:48
80,"RT @CNN: ""It's been less than two days, but one storyline of the Senate impeachment trial of Donald Trump has already emerged: Democrats ar…",Francie R,13510,107,"New Jersey, USA",False,0,38,2020-01-23 00:03:48
81,"RT @JRehling: @tedcruz Donald Trump:
✅Called you Lyin' Ted Cruz.
✅Linked your father to the JFK assassination.
✅Insulted your wife.
✅Has yo…",Pen,25996,311,,False,0,20,2020-01-23 00:03:48
82,"RT @ABC: Rep. Hakeem Jeffries says that President Trump's phone call with Ukrainian President Zelenskiy is ""direct evidence that President…",5DoxMom_SSW,57513,3898,CT,False,0,59,2020-01-23 00:03:48
83,"RT @Goss30Goss: POTUS said today in front of the world that the wheel was invented in America. 

The wheel was created in 3,500 BC.

Americ…",Barbara Hartness,19605,538,"Washington, USA",False,0,982,2020-01-23 00:03:47
84,Donald Trump will become the first sitting president to address the anti-abortion March for Life in person on Frida… https://t.co/m72xe4qbIr,Mike Shepard,3731,806,"Washington, DC",False,0,0,2020-01-23 00:03:47
85,"RT @HouseIntel: Where were you on July 25, 2019?

On July 25, 2019:

— Ukrainian soldiers were manning the front lines against Russian-back…",Texas Blue 2020,117335,2871,"Texas, USA",False,0,604,2020-01-23 00:03:47
86,"RT @cnni: ""It's been less than two days, but one storyline of the Senate impeachment trial of Donald Trump has already emerged: Democrats a…",coogubet,15756,47,,False,0,16,2020-01-23 00:03:46
87,"RT @4YrsToday: Donald Trump said we are a pro-life generation...

...are we really?",WhatTheHell⭐⭐⭐,284412,10800,NY Is a shithole,False,0,43,2020-01-23 00:03:46
88,"RT @allidoisowen: I’m heading into court for calling the impeachment of President Donald Trump a scam. 

Wish me luck https://t.co/wavDCJ9o…",Janjch,14075,3051,,False,0,2125,2020-01-23 00:03:46
89,"RT @jaketapper: 2/ Here's an interesting story about Martha Mitchell and the current US Ambassador to the Czech Republic, btw

https://t.co…",Maria 🌊,41129,2071,"Florida, USA",False,0,586,2020-01-23 00:03:46
90,RT @PhilipWegmann: Just Now: Donald Trump to become first president to speak live and in person at March for Life this Friday.,Rob 🧔🏻 ⭐️⭐️⭐️,4787,5160,"El Paso, TX",False,0,233,2020-01-23 00:03:45
91,RT @PalmerReport: Donald Trump is losing his impeachment trial in the only way that matters https://t.co/ZhcIodA1Ku,George Soffa,14812,77,El Norte ,False,0,6,2020-01-23 00:03:45
92,"RT @GaryRayBetz: Sorry pal, but they ain't 'entitlements'! I've been paying into Medicare &amp; Social Security since my first job at the filli…",Jo Ann,110297,1317,Los Angeles,False,0,175,2020-01-23 00:03:45
93,"RT @CraigRozniecki: Dems: ""We're impeaching Donald J. Trump for obstructing Congress.""

Reps: ""He didn't obstruct Congress. Prove that he o…",Kayla Good,2225,168,"Pennsylvania, USA",False,0,841,2020-01-23 00:03:45
94,"RT @RepJeffries: The President’s top lawyer asked an important question on the first day of trial.

Why are we here?

Donald Trump brazenly…",Karen,35648,62,,False,0,3328,2020-01-23 00:03:45
95,RT @waltshaub: Doesn't Priebus work for Michael Best &amp; Friedrich LLP? Isn't Michael Best &amp; Friedrich LLP representing the Trump Organizatio…,redrider,180412,340,Panama City Beach Florida,False,0,2651,2020-01-23 00:03:44
96,"Yeah, from you Sorry Ass Republicans! It’s amazing how you can look at yourself And Your WIFE after what donald tru… https://t.co/WoMCUwW5v0",Heal_This_Nation,52128,1163,North Carolina,False,0,0,2020-01-23 00:03:44
97,RT @waltshaub: Doesn't Priebus work for Michael Best &amp; Friedrich LLP? Isn't Michael Best &amp; Friedrich LLP representing the Trump Organizatio…,Genie Stowers,57509,1647,San Francisco Bay Area,False,0,2651,2020-01-23 00:03:44
98,RT @heretosaveday07: Representative John Ratcliffe (R-TX) on Monday tweeted that the impeachment case against President Donald Trump is “an…,MUZIC MAN,3626,672,"TRUMP TOWN, USA ",False,0,94,2020-01-23 00:03:43
99,RT @waltshaub: Doesn't Priebus work for Michael Best &amp; Friedrich LLP? Isn't Michael Best &amp; Friedrich LLP representing the Trump Organizatio…,"Table for one, please",85444,2987,"Philadelphia, PA",False,0,2651,2020-01-23 00:03:43
100,"RT @keithboykin: Adam Schiff’s opening argument in the Senate impeachment trial was brilliant, thorough, factual, calm, sober and compellin…",Jan Maxwell,82593,280,Texas,False,0,163,2020-01-23 00:03:43
101,"@GOP @realDonaldTrump You all need to pull your heads out of your..., um, the sand. Donald Trump, and a good many o… https://t.co/8z2LXdlZEg",Spedder1,8492,166,"Illinois, USA",False,0,0,2020-01-23 00:03:42
102,"RT @PeteButtigieg: Donald Trump faked a medical condition to avoid serving. He’s never had to sacrifice a day in his life.

He will never u…",Marybeth Mueller,7069,74,"Fairport, NY",False,0,2574,2020-01-23 00:03:42
103,"RT @Goss30Goss: POTUS said today in front of the world that the wheel was invented in America. 

The wheel was created in 3,500 BC.

Americ…",Patricia Kent,71875,3205,"Rutland, MA",False,0,983,2020-01-23 00:03:42
104,"RT @propublica: Donald Trump has long worked hard to avoid taxes. “That makes me smart,” he famously said during a 2016 presidential debate…",Christian against Trump,4676,241,,False,0,32,2020-01-23 00:03:41
105,"RT @ABC: Rep. Hakeem Jeffries says that President Trump's phone call with Ukrainian President Zelenskiy is ""direct evidence that President…",Gayle J. Greenlea,16709,1173,"Sydney, Australia",False,0,59,2020-01-23 00:03:41
106,"RT @HouseIntel: Where were you on July 25, 2019?

On July 25, 2019:

— Ukrainian soldiers were manning the front lines against Russian-back…",Glogi's_take,43835,341,,False,0,603,2020-01-23 00:03:41
107,Lawsuit: Trump tied to inauguration’s inflated payments to his business https://t.co/UM41tRYmxQ @RealDonaldTrump… https://t.co/TJdC6NzxD7,D. G. McLeod,100,2,,False,0,0,2020-01-23 00:03:40
108,RT @therealzanetta: Donald trump IS A TRAITOR,Miss. Bree,36309,2126,"California, USA",False,0,6,2020-01-23 00:03:40
109,"RT @cjtruth: GREAT NEWS: Donald Trump will become first president to speak live and in person at March for Life this Friday.

The other sid…",Jay,3596,232,,False,0,235,2020-01-23 00:03:40
110,"RT @HermanM36169986: March for Life 
This right here is one of the reasons I love
President Donald J. Trump
#StopTheAmericanHolocaust https…",iamlistening,45424,847,"Utah, USA",False,0,1,2020-01-23 00:03:39
111,"RT @PalmerReport: Donald Trump's day so far:

- Confesses that he's sitting on incriminating evidence against himself
- The idiot just scre…",George Soffa,14812,77,El Norte ,False,0,1581,2020-01-23 00:03:38
112,"Let’s make this easy. 

Joe Biden should offer to testify if Donald Trump does the same.

#ImpeachmentHearing",greg shhh,158,8,,False,0,0,2020-01-23 00:03:38
113,RT @WasOnceLou: I like that the Democrats keep calling Trump “Donald John Trump”....sounds like Lee Harvey Oswald...Mark David Chapman....J…,Dr. RGST 🇺🇳,134218,1311,"Troy, NY",False,0,15,2020-01-23 00:03:38
114,RT @Zac_Petkanas: Just a reminder that Donald Trump fired his FBI Director and publicly said it was to stop a criminal investigation into h…,Gary  Jepson,3470,23,"Grand Rapids, MN",False,0,929,2020-01-23 00:03:38
115,"RT @Charles_HRH: Lovely meeting with Greta Thunberg today in Davos.⁣ We both agreed that climate change, global warming and Donald Trump ar…",Pearce Dougherty,402,87,"Southern Gold Coast, Australia",False,0,320,2020-01-23 00:03:38
116,RT @Thomas1774Paine: ‘Donald Trump’s Worst Nightmare’ Imprisoned in El Chapo’s Former Cell in Manhattan https://t.co/UKF3HrgECy,🅾️ Truth & Justice Jilly⭐️⭐️⭐️,50751,4143,"Florida, USA",False,0,10,2020-01-23 00:03:38
117,Trump to become first president to speak at the March for Life https://t.co/eRHSnS6kRZ,Jacqueline White,6129,10,"ILLAWARRA, NSW",False,0,0,2020-01-23 00:03:37
118,"I don’t know how you can listen to these events and not see how impeachable Donald Trump is. 

I see you… https://t.co/noczl0jNHL",Nicole Bass,60,1939,Colorado ,False,0,0,2020-01-23 00:03:37
119,RT @waltshaub: Doesn't Priebus work for Michael Best &amp; Friedrich LLP? Isn't Michael Best &amp; Friedrich LLP representing the Trump Organizatio…,Bathsheba Dreams in Blue,94415,8358,,False,0,2652,2020-01-23 00:03:36
120,RT @elizlipp: How did a do nothing Senator from Vermont get you all to believe he’s our only hope in beating Donald Trump?,No one,609706,2198,timbuktu,False,0,419,2020-01-23 00:03:36
121,"RT @jaketapper: 2/ Here's an interesting story about Martha Mitchell and the current US Ambassador to the Czech Republic, btw

https://t.co…",Jan Forney 🇺🇸 🌎 🆘,61949,3317,United States,False,0,587,2020-01-23 00:03:36
122,RT @girlsreallyrule: Lead Manager Adam Schiff starts his opening statement today with a quote from Alexander Hamilton (see below) and sayin…,Aimé Lilithe,33728,252,Northern California,False,0,1107,2020-01-23 00:03:36
123,"RT @HouseIntel: Where were you on July 25, 2019?

On July 25, 2019:

— Ukrainian soldiers were manning the front lines against Russian-back…",Judy Raboin Illgen,13213,229,,False,0,603,2020-01-23 00:03:36
124,RT @PalmerReport: Donald Trump is losing his impeachment trial in the only way that matters https://t.co/ZhcIodA1Ku,Cajun Rogue🌊🌊🌊⚜️⚜️⚜️#ElectWomen,272615,15509,"Nashville, TN",False,0,7,2020-01-23 00:03:36
125,"RT @PeteButtigieg: Donald Trump faked a medical condition to avoid serving. He’s never had to sacrifice a day in his life.

He will never u…",Ning19,3228,37,,False,0,2574,2020-01-23 00:03:35
126,"RT @cjtruth: GREAT NEWS: Donald Trump will become first president to speak live and in person at March for Life this Friday.

The other sid…",Janz 🐈🌹🌺🌷🐝,31754,4390,,False,0,235,2020-01-23 00:03:35
127,RT @AIIAmericanGirI: Trump to become first president to speak at the March for Life https://t.co/aeHDpaE5Qp @FoxNews #AAG #AAG2020,Tausif Kamal,62114,876,"Texas, Karachi, Dubai",False,0,3,2020-01-23 00:03:35
128,"RT @Conservative_VW: America has seen Adam Schiff’s Shadow ....

... it means; 4 more years for Donald J Trump !! 👍😊😊😊

 #TrumpImpeachmentT…",thomas julian,93140,24301,West Texas,False,0,73,2020-01-23 00:03:35
129,RT @cjtruth: ‘She beat me to to the cover of Time magazine!’ Donald Trump slaps at Greta Thunberg AGAIN saying she should focus on ‘other c…,WalkforJustice🇺🇸,118733,3389,,False,0,91,2020-01-23 00:03:35
130,"RT @jaketapper: 2/ Here's an interesting story about Martha Mitchell and the current US Ambassador to the Czech Republic, btw

https://t.co…",Jack Hutton,281262,3901,"iPhone: 37.776634,-122.407928",False,0,587,2020-01-23 00:03:34
131,"RT @StephenKing: Trump did this.
It’s all on Donald Trump.
Retweet if you agree.",Leah Razuri No DMs,17261,537,"Texas, USA",False,0,164281,2020-01-23 00:03:34
132,RT @waltshaub: Doesn't Priebus work for Michael Best &amp; Friedrich LLP? Isn't Michael Best &amp; Friedrich LLP representing the Trump Organizatio…,Hans Germish,2745,616,Earth,False,0,2652,2020-01-23 00:03:34
133,"RT @Wonkette: Ted Cruz, whose wife Donald Trump called ugly, now says we MUST get testimony from Hunter Biden, because obviously today has…",JessiePow,15075,1119,,False,0,1,2020-01-23 00:03:34
134,"RT @Goss30Goss: POTUS said today in front of the world that the wheel was invented in America. 

The wheel was created in 3,500 BC.

Americ…",Sith Lord Bitmoji,57652,16603,"A galaxy far, far away",False,0,983,2020-01-23 00:03:34
135,"NINJAOA GOVERNMENT OFFICIAL 
INTERNATIONAL WHITE HOUSE FEDERAL JUSTICE PROBE

pUBrE: Donald trump Selects Mike Penc… https://t.co/JLFmKBynkj",JB AXE,9268,37,,False,0,0,2020-01-23 00:03:33
136,RT @ABC: Rep. Adam Schiff quotes from Alexander Hamilton at the start of House impeachment managers' opening arguments in the trial of Pres…,Gayla Schaefer,18762,10780,Tampa,False,0,907,2020-01-23 00:03:33
